react.git	1c2876d5b558b8591feb335d8d7204bc46f7da8a	MOVE_RENAME	Program	scripts/rollup/plugins/wrap-warning-with-env-check.js:183-1298	scripts/rollup/plugins/wrap-warning-with-env-check.js	scripts/babel/wrap-warning-with-env-check.js:183-1779	scripts/babel/wrap-warning-with-env-check.js	-1172413528
vue.git	90891709708e8ebdc1522eed678a49eb9f312fda	RENAME	FunctionDeclaration	dist/vue.runtime.js:105089-105398	mergeHooks	dist/vue.runtime.js:105820-106034	installComponentHooks	-99881602
vue.git	90891709708e8ebdc1522eed678a49eb9f312fda	EXTRACT	FunctionDeclaration	packages/weex-vue-framework/factory.js:99396-100252	createFunctionalComponent	dist/vue.runtime.esm.js:100613-101075	cloneAndMarkFunctionalResult	-1749157689
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	RENAME	FunctionDeclaration	dist/vue.runtime.esm.js:117753-117968	Vue$3	dist/vue.runtime.esm.js:119184-119395	Vue	1420587546
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:91565-91942	checkKeyCodes	dist/vue.runtime.js:92143-92302	isKeyNotMatch	1849602266
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	RENAME	FunctionDeclaration	dist/vue.js:116082-116290	Vue$3	dist/vue.js:117456-117660	Vue	1978832827
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:162034-163603	setAttr	dist/vue.runtime.js:165073-165797	baseSetAttr	-1966323165
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	RENAME	FunctionDeclaration	dist/vue.esm.js:117896-118111	Vue$3	dist/vue.esm.js:119327-119538	Vue	-55179109
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:92880-93257	checkKeyCodes	dist/vue.runtime.common.js:93487-93646	isKeyNotMatch	66868168
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.common.js:92895-93272	checkKeyCodes	dist/vue.js:92286-92445	isKeyNotMatch	943950682
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:164155-165724	setAttr	dist/vue.common.js:167465-168189	baseSetAttr	-100274805
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:91565-91942	checkKeyCodes	dist/vue.js:92286-92445	isKeyNotMatch	-803470994
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.esm.js:143163-143817	setScope	dist/vue.js:133609-133685	setStyleScope	-995875037
vue.git	a08feed8c410b89fa049fdbd6b9459e2d858e912	EXTRACT	FunctionDeclaration	dist/vue.runtime.js:141185-141839	setScope	dist/vue.esm.js:135551-135627	setStyleScope	-1333315275
