Commit	Ref Type	Entity before	Entity after	RefDiff	Details
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.core.notification.NotificationDispatcherTest	org.sonar.server.notification.NotificationDispatcherTest	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.core.notification.NotificationManager	org.sonar.server.notification.NotificationManager	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.NotificationCenter	org.sonar.server.notification.NotificationCenter	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.NotificationCenterTest	org.sonar.server.notification.NotificationCenterTest	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.NotificationService	org.sonar.server.notification.NotificationService	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.NotificationServiceTest	org.sonar.server.notification.NotificationServiceTest	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.NotificationTest	org.sonar.server.notification.NotificationTest	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.email.AlertsEmailTemplate	org.sonar.server.notification.email.AlertsEmailTemplate	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.email.AlertsEmailTemplateTest	org.sonar.server.notification.email.AlertsEmailTemplateTest	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.email.EmailNotificationChannel	org.sonar.server.notification.email.EmailNotificationChannel	TP	
https://github.com/icse18-refactorings/sonarqube/commit/abbf32571232db81a5343db17a933a9ce6923b44	Move Class	org.sonar.server.notifications.email.EmailNotificationChannelTest	org.sonar.server.notification.email.EmailNotificationChannelTest	TP	
https://github.com/icse18-refactorings/crash/commit/2801269c7e47bd6e243612654a74cee809d20959	Extract Method	org.crsh.auth.FilePublicKeyProvider.loadKeys()	org.crsh.auth.FilePublicKeyProvider.convertPemKeyPair(PEMKeyPair)	TP	
https://github.com/icse18-refactorings/eclipse-themes/commit/72f61ec9b85a740fd09d10ad711e275d2ec2e564	Move Class	net.jeeeyul.eclipse.themes.test.e4app.AboutHandler	net.jeeeyul.eclipse.themes.test.e4app.handlers.AboutHandler	TP	
https://github.com/icse18-refactorings/eclipse-themes/commit/72f61ec9b85a740fd09d10ad711e275d2ec2e564	Move Class	net.jeeeyul.eclipse.themes.test.e4app.SplashHandler	net.jeeeyul.eclipse.themes.test.e4app.handlers.SplashHandler	TP	
