Commit URL	Refactoring Type	Description	Relationship Type	CST Node before	CST Node After	Expected?	RefDiff 2.0	RefDiff 1.0	RMiner	Evaluators	Evaluators' classification
https://github.com/icse18-refactorings/realm-java/commit/6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb	Extract Method	Extract Method private showStatus(txt String) : void extracted from protected onCreate(savedInstanceState Bundle) : void in class io.realm.examples.realmmigrationexample.MigrationExampleActivity				F	TN	FP	TN		
https://github.com/icse18-refactorings/realm-java/commit/6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb	Extract Method	Extract Method private showStatus(txt String) : void extracted from private showStatus(realm Realm) : void in class io.realm.examples.realmmigrationexample.MigrationExampleActivity	EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})	T	TP	TP	TP		
https://github.com/icse18-refactorings/rstudio/commit/cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe	Extract Method	Extract Method protected setMaxHeight(maxHeight int) : void extracted from protected wrapMenuBar(menuBar ToolbarMenuBar) : Widget in class org.rstudio.core.client.widget.ScrollableToolbarPopupMenu	EXTRACT	{Method wrapMenuBar(ToolbarMenuBar) at src/gwt/src/org/rstudio/core/client/widget/ScrollableToolbarPopupMenu.java:64}	{Method setMaxHeight(int) at src/gwt/src/org/rstudio/core/client/widget/ScrollableToolbarPopupMenu.java:80})	T	TP	FN	TP		
https://github.com/icse18-refactorings/intellij-community/commit/7ed3f273ab0caf0337c22f0b721d51829bb0c877	Extract Method	Extract Method private addCoursesFromStepic(result List<CourseInfo>, pageNumber int) : boolean extracted from public getCourses() : List<CourseInfo> in class com.jetbrains.edu.stepic.EduStepicConnector	EXTRACT	{Method getCourses() at python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java:141}	{Method addCoursesFromStepic(List, int) at python/educational/src/com/jetbrains/edu/stepic/EduStepicConnector.java:159})	T	TP	TP	TP		
https://github.com/icse18-refactorings/intellij-community/commit/7a4dab88185553bd09e827839fdf52e870ef7088	Extract Method	Extract Method private getDataFile(name String) : File extracted from private getJarFile(name String) : VirtualFile in class com.intellij.codeInsight.JavaExternalDocumentationTest	EXTRACT	{Method getJarFile(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:112}	{Method getDataFile(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:121})	T	TP	TP	TP		
https://github.com/icse18-refactorings/intellij-community/commit/7a4dab88185553bd09e827839fdf52e870ef7088	Extract Method	Extract Method private getDocumentationText(sourceEditorText String) : String extracted from public testImagesInsideJavadocJar() : void in class com.intellij.codeInsight.JavaExternalDocumentationTest	EXTRACT	{Method testImagesInsideJavadocJar() at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:56}	{Method getDocumentationText(String) at java/java-tests/testSrc/com/intellij/codeInsight/JavaExternalDocumentationTest.java:134})	T	TP	TP	TP		
https://github.com/icse18-refactorings/intellij-community/commit/7655200f58293e5a30bf8b3cbb29ebadae374564	Extract Method	Extract Method private checkRemap() : void extracted from public getLine() : int in class com.intellij.debugger.engine.RemappedSourcePosition	EXTRACT	{Method getLine() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:46}	{Method checkRemap() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:53})	T	TP	TP	TP		
https://github.com/icse18-refactorings/intellij-community/commit/7655200f58293e5a30bf8b3cbb29ebadae374564	Extract Method	Extract Method private checkRemap() : void extracted from public getOffset() : int in class com.intellij.debugger.engine.RemappedSourcePosition	EXTRACT	{Method getOffset() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:57}	{Method checkRemap() at java/debugger/impl/src/com/intellij/debugger/engine/RemappedSourcePosition.java:53})	T	TP	TP	TP		
https://github.com/icse18-refactorings/sonarqube/commit/4a2247c24efee48de53ca07302b6810ab7205621	Move Class	Move Class org.sonar.server.custommeasure.persistence.CustomMeasureDao moved to org.sonar.server.measure.custom.persistence.CustomMeasureDao	MOVE	{Class CustomMeasureDao at server/sonar-server/src/main/java/org/sonar/server/custommeasure/persistence/CustomMeasureDao.java:35}	{Class CustomMeasureDao at server/sonar-server/src/main/java/org/sonar/server/measure/custom/persistence/CustomMeasureDao.java:35})	T	TP	TP	TP		
https://github.com/icse18-refactorings/sonarqube/commit/4a2247c24efee48de53ca07302b6810ab7205621	Move Class	Move Class org.sonar.server.custommeasure.persistence.CustomMeasureDaoTest moved to org.sonar.server.measure.custom.persistence.CustomMeasureDaoTest	MOVE	{Class CustomMeasureDaoTest at server/sonar-server/src/test/java/org/sonar/server/custommeasure/persistence/CustomMeasureDaoTest.java:40}	{Class CustomMeasureDaoTest at server/sonar-server/src/test/java/org/sonar/server/measure/custom/persistence/CustomMeasureDaoTest.java:40})	T	TP	TP	TP		
