tool	project	commit	time	files
RMiner	realm-java	6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb	547	7
RMiner	rstudio	cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe	16	2
RMiner	intellij-community	7ed3f273ab0caf0337c22f0b721d51829bb0c877	47	2
RMiner	intellij-community	7a4dab88185553bd09e827839fdf52e870ef7088	578	8
RMiner	intellij-community	7655200f58293e5a30bf8b3cbb29ebadae374564	485	18
RMiner	sonarqube	4a2247c24efee48de53ca07302b6810ab7205621	79	36
RMiner	sonarqube	abbf32571232db81a5343db17a933a9ce6923b44	172	70
RMiner	crash	2801269c7e47bd6e243612654a74cee809d20959	15	3
RMiner	eclipse-themes	72f61ec9b85a740fd09d10ad711e275d2ec2e564	0	8
RMiner	jodd	722ef9156896248ef3fbe83adde0f6ff8f46856a	47	8
RMiner	guacamole-client	ebb483320d971ff4d9e947309668f5da1fcd3d23	15	4
RMiner	byte-buddy	372f4ae6cebcd664e3b43cade356d1df233f6467	7438	39
RMiner	commafeed	18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7	16	2
RMiner	fabric8	8127b21a220ca677c4e59961d019e7753da7ea6e	63	2
RMiner	quasar	c22d40fab8dfe4c5cad9ba582caf0855ff64b324	32	10
RMiner	moco	55ffa2f3353c5dc77fe6b790e5e045b76a07a772	16	4
RMiner	gradle	04bcfe98dbe7b05e508559930c21379ece845732	235	58
RMiner	MPS	2bcd05a827ead109a56cb1f79a83dcd332f42888	469	44
RMiner	Android-IMSI-Catcher-Detector	e235f884f2e0bc258da77b9c80492ad33386fa86	125	2
RMiner	intellij-community	138911ce88b05039242b8d1b2bb5b7a59008f5ee	172	4
RMiner	intellij-community	04397f41107bd6de41b31d45a4e8e2ed65628bbe	0	2
RMiner	intellij-community	cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b	219	8
RMiner	sonarqube	c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa	78	4
RMiner	guacamole-client	ce1f3d07976de31aed8f8189ec5e1a6453f4b580	16	4
RMiner	BroadleafCommerce	4ef35268bb96bb78b2dc698fa68e7ce763cde32e	391	4
RMiner	java-driver	1edac0e92080e7c5e971b2d56c8753bf44ea8a6c	125	10
RMiner	quasar	56d4b999e8be70be237049708f019c278c356e71	484	12
RMiner	hibernate-orm	2b89553db5081fe4e55b7b34d636d0ea2acf71c5	31	4
RMiner	cassandra	446e2537895c15b404a74107069a12f3fc404b15	30401	25
RMiner	liferay-portal	59fd9e696cec5f2ed44c27422bbc426b11647321	47	6
RMiner	Singularity	45ada13b852af85e1ae0491267a0239d9bdf6f3f	31	6
RMiner	android_frameworks_base	96a2c3410f3c71d3ab20857036422f1d64c3a6d3	125	2
RMiner	intellij-community	219d6ddfd1db62c11efb57e0216436874e087834	79	31
RMiner	intellij-community	484038e916dc40bf87eca10c77889d79eca96c4d	31	6
RMiner	sonarqube	091ec857d24bfe139d2a5ce143ffc9b32b21cd7c	125	30
RMiner	sonarqube	7668c875dfa7240b1ec08eb60b42107bae1b4cd3	94	4
RMiner	elasticsearch	c928852d4ab7d8c744063979208709ed4429b8e9	375	25
RMiner	elasticsearch	f77804dad35c13d9ff96456e85737883cf7ddd99	12839	54
RMiner	elasticsearch	ff9041dc486adf0a8dec41f80bbfbdd49f97016a	532	60
RMiner	atomix	19a49f8f36b2f6d82534dc13504d672e41a3a8d1	2250	4
RMiner	byte-buddy	f1dfb66a368760e77094ac1e3860b332cf0e4eb5	15	2
