ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,MOVE_RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read(JNIEnv, jobject, jbyteArray, jint):1093-1204","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read(JNIEnv, jobject, jbyteArray, jint):1093-1204",ijkplayer-j4a: rename ijkio androidio,0.2046411655094984
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read__catchAll(JNIEnv, jobject, jbyteArray, jint):1872-2196","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read__catchAll(JNIEnv, jobject, jbyteArray, jint):1872-2196",ijkplayer-j4a: rename ijkio androidio,0.21540972240228018
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__close(JNIEnv, jobject):2775-2980","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__close(JNIEnv, jobject):2775-2980",ijkplayer-j4a: rename ijkio androidio,0.7165479492636075
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FILE,ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:IIjkIOHttp.c:0-5474,ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:IAndroidIO.c:0-5474,ijkplayer-j4a: rename ijkio androidio,0.11801870337303744
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeIjkIOHttp__set(JNIEnv, jobject, jlong):3967-4208","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeAndroidIO__set(JNIEnv, jobject, jlong):3967-4208",ijkplayer-j4a: rename ijkio androidio,0.6779288217148517
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__close__catchAll(JNIEnv, jobject):2982-3264","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__close__catchAll(JNIEnv, jobject):2982-3264",ijkplayer-j4a: rename ijkio androidio,0.6289273626428936
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,MOVE_RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__read__catchAll(JNIEnv, jobject, jbyteArray, jint):1211-1332","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__read__catchAll(JNIEnv, jobject, jbyteArray, jint):1211-1332",ijkplayer-j4a: rename ijkio androidio,0.5269077981350904
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeIjkIOHttp__get(JNIEnv, jobject):3420-3649","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/IjkMediaPlayer.c:J4AC_tv_danmaku_ijk_media_player_IjkMediaPlayer__mNativeAndroidIO__get(JNIEnv, jobject):3420-3649",ijkplayer-j4a: rename ijkio androidio,0.07173556472999909
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.c:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__seek(JNIEnv, jobject, jlong, jint):2198-2446","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.c:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__seek(JNIEnv, jobject, jlong, jint):2198-2446",ijkplayer-j4a: rename ijkio androidio,0.061073446903816664
ijkplayer,c504b6c753604ab25f78634ec486be13d8aedaae,MOVE_RENAME_FUNCTION,"ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IIjkIOHttp.h:J4AC_tv_danmaku_ijk_media_player_misc_IIjkIOHttp__seek(JNIEnv, jobject, jlong, jint):1340-1448","ijkmedia/ijkj4a/j4a/class/tv/danmaku/ijk/media/player/misc/IAndroidIO.h:J4AC_tv_danmaku_ijk_media_player_misc_IAndroidIO__seek(JNIEnv, jobject, jlong, jint):1340-1448",ijkplayer-j4a: rename ijkio androidio,0.23090117241819874
