FFmpeg,673d8cfd51888963caafe46a6d9a8691d0e91caa,EXTRACT,libavformat/hls.c:free_segment_list(playlist):6257-6549,"libavformat/hls.c:free_segment_dynarray(segment, int):6257-6499",avformat/hls: fix seeking around EVENT playlist after media sequence changes,0.12002395485537665
FFmpeg,7582a907e40ef1012e40a9b17aead05a6777b0ca,RENAME_FUNCTION,libavcodec/h2645_parse.c:nal_unit_name(int):7304-7443,libavcodec/h2645_parse.c:hevc_nal_unit_name(int):7304-7448,lavc/h2645_parse: rename the nal_unit_name to hevc_nal_unit_name.,0.9929428552800261
FFmpeg,6dc79637f34f4a5a76f4bf9e66b78a27d156b1df,CHANGE_SIGNATURE,"libavcodec/qdrw.c:parse_palette(AVCodecContext, GetByteContext, uint32_t, int):1338-2192","libavcodec/qdrw.c:parse_palette(AVCodecContext, GetByteContext, uint32_t, int, int):1338-2228",lavc/qdrw: Read PixMap palette.,0.9888606693798725
FFmpeg,b30575bc982fd70799f63f2031640b9916f1648d,CHANGE_SIGNATURE,tests/checkasm/sw_rgb.c:check_uyvy_to_422p():2212-4275,tests/checkasm/sw_rgb.c:check_uyvy_to_422p(void):2212-4279,checkasm/sw_rgb: fix the function declaration warning,0.935853763497128
FFmpeg,07d175d0b0b22912784f35d29e139cf025a03221,EXTRACT,"libavcodec/videotoolbox.c:ff_videotoolbox_h264_decode_slice(AVCodecContext, uint8_t, uint32_t):11408-12159","libavcodec/videotoolbox.c:videotoolbox_common_decode_slice(AVCodecContext, uint8_t, uint32_t):11408-12094",avcodec/videotoolbox: split h264/hevc callbacks,0.48801565779322764
FFmpeg,c6a63e11092c975b89d824f08682fe31948d3686,CHANGE_SIGNATURE,"libavcodec/cbs_h2645.c:cbs_h265_replace_vps(CodedBitstreamContext, H265RawVPS):22383-22444","libavcodec/cbs_h2645.c:cbs_h265_replace_vps(CodedBitstreamContext, CodedBitstreamUnit):22701-22762",avcodec/cbs_h2645: use AVBufferRef to store list of active parameter sets,0.22092911529583137
FFmpeg,c6a63e11092c975b89d824f08682fe31948d3686,CHANGE_SIGNATURE,"libavcodec/cbs_h2645.c:cbs_h265_replace_pps(CodedBitstreamContext, H265RawPPS):22505-22564","libavcodec/cbs_h2645.c:cbs_h265_replace_pps(CodedBitstreamContext, CodedBitstreamUnit):22823-22882",avcodec/cbs_h2645: use AVBufferRef to store list of active parameter sets,0.41255244579672123
FFmpeg,c6a63e11092c975b89d824f08682fe31948d3686,CHANGE_SIGNATURE,"libavcodec/cbs_h2645.c:cbs_h265_replace_sps(CodedBitstreamContext, H265RawSPS):22445-22504","libavcodec/cbs_h2645.c:cbs_h265_replace_sps(CodedBitstreamContext, CodedBitstreamUnit):22763-22822",avcodec/cbs_h2645: use AVBufferRef to store list of active parameter sets,0.7483084563275302
FFmpeg,c6a63e11092c975b89d824f08682fe31948d3686,CHANGE_SIGNATURE,"libavcodec/cbs_h2645.c:cbs_h264_replace_sps(CodedBitstreamContext, H264RawSPS):22271-22326","libavcodec/cbs_h2645.c:cbs_h264_replace_sps(CodedBitstreamContext, CodedBitstreamUnit):22589-22644",avcodec/cbs_h2645: use AVBufferRef to store list of active parameter sets,0.6906634201407887
FFmpeg,c6a63e11092c975b89d824f08682fe31948d3686,CHANGE_SIGNATURE,"libavcodec/cbs_h2645.c:cbs_h264_replace_pps(CodedBitstreamContext, H264RawPPS):22327-22382","libavcodec/cbs_h2645.c:cbs_h264_replace_pps(CodedBitstreamContext, CodedBitstreamUnit):22645-22700",avcodec/cbs_h2645: use AVBufferRef to store list of active parameter sets,0.34575529451498965
